Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
14238,13.9,No Different than U.S. National Rate,10,19.2,69,17.7,No Different than U.S. National Rate,13.8,22.4,67
14239,11.9,No Different than U.S. National Rate,7.8,17.4,37,17.6,No Different than U.S. National Rate,13.5,22.5,34
14240,11.6,No Different than U.S. National Rate,8.1,16.5,65,17.9,No Different than U.S. National Rate,14.1,22.8,69
14241,Not Available,Number of Cases Too Small,Not Available,Not Available,24,18.4,No Different than U.S. National Rate,14.5,23.7,28
14242,12.7,No Different than U.S. National Rate,9.4,17,127,18.1,No Different than U.S. National Rate,14.5,22.5,146
14243,12.9,No Different than U.S. National Rate,10.1,16.6,249,14.7,Better than U.S. National Rate,11.8,18,262
14244,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14245,11.1,No Different than U.S. National Rate,7.9,15.1,156,17.5,No Different than U.S. National Rate,14.1,21.9,161
14246,11,No Different than U.S. National Rate,8.7,13.9,406,17,No Different than U.S. National Rate,14.3,20.1,431
14247,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14248,12.8,No Different than U.S. National Rate,9.6,16.7,194,16.9,No Different than U.S. National Rate,13.7,20.8,207
14249,11.6,No Different than U.S. National Rate,8,16.5,67,20.2,No Different than U.S. National Rate,16.2,25.2,75
14250,Not Available,Number of Cases Too Small,Not Available,Not Available,6,Not Available,Number of Cases Too Small,Not Available,Not Available,11
14251,Not Available,Number of Cases Too Small,Not Available,Not Available,3,Not Available,Number of Cases Too Small,Not Available,Not Available,7
14252,11.7,No Different than U.S. National Rate,7.7,17.9,32,17.4,No Different than U.S. National Rate,13.5,22.7,33
14253,Not Available,Number of Cases Too Small,Not Available,Not Available,14,Not Available,Number of Cases Too Small,Not Available,Not Available,15
14254,Not Available,Number of Cases Too Small,Not Available,Not Available,10,Not Available,Number of Cases Too Small,Not Available,Not Available,9
14255,12.8,No Different than U.S. National Rate,8.8,18.1,41,19.1,No Different than U.S. National Rate,15,24.2,46
14256,10.3,No Different than U.S. National Rate,7.4,14.3,96,18.4,No Different than U.S. National Rate,14.8,22.9,103
14257,11.8,No Different than U.S. National Rate,8.1,17.1,61,16.6,No Different than U.S. National Rate,12.8,21.2,66
14258,13.1,No Different than U.S. National Rate,9.2,18.7,34,18.1,No Different than U.S. National Rate,14.1,23.4,33
14259,11.7,No Different than U.S. National Rate,7.6,17.5,33,19.1,No Different than U.S. National Rate,14.7,24.4,32
14260,Not Available,Number of Cases Too Small,Not Available,Not Available,18,Not Available,Number of Cases Too Small,Not Available,Not Available,22
14261,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14262,11.4,No Different than U.S. National Rate,9,14.3,327,15.6,No Different than U.S. National Rate,13,18.9,347
14263,13.1,No Different than U.S. National Rate,10.8,15.6,577,18.7,No Different than U.S. National Rate,16.2,21.5,631
14264,9.9,No Different than U.S. National Rate,7.9,12.3,472,15.8,No Different than U.S. National Rate,13.4,18.8,490
14265,13.2,No Different than U.S. National Rate,9.8,17.4,153,17.9,No Different than U.S. National Rate,14.5,21.9,163
14266,11.3,No Different than U.S. National Rate,9.1,13.9,454,18.2,No Different than U.S. National Rate,15.7,21.2,496
14267,12.3,No Different than U.S. National Rate,9.2,16.1,174,18,No Different than U.S. National Rate,14.8,21.7,201
14268,12.4,No Different than U.S. National Rate,9.6,15.7,250,16,No Different than U.S. National Rate,13.2,19.4,278
14269,13.2,No Different than U.S. National Rate,9.2,18.7,53,18.2,No Different than U.S. National Rate,14.3,22.7,57
14270,10.1,No Different than U.S. National Rate,7.4,13.7,138,21.7,No Different than U.S. National Rate,17.4,26.3,143
14271,10.5,No Different than U.S. National Rate,7.5,14.4,128,17,No Different than U.S. National Rate,13.4,21.4,134
14272,11.7,No Different than U.S. National Rate,8.7,15.6,133,16.8,No Different than U.S. National Rate,13.2,20.9,126
14273,12.3,No Different than U.S. National Rate,9.2,16.4,117,15.9,No Different than U.S. National Rate,12.6,19.8,120
14274,13,No Different than U.S. National Rate,9.7,17.2,161,16.3,No Different than U.S. National Rate,13,20.4,167
14275,12.3,No Different than U.S. National Rate,9.5,15.7,284,17.6,No Different than U.S. National Rate,14.6,21.4,303
14276,15.1,Worse than U.S. National Rate,12.2,19,266,17.9,No Different than U.S. National Rate,14.8,21.6,288
14277,14.1,No Different than U.S. National Rate,9.8,19.4,93,19,No Different than U.S. National Rate,14.8,24.6,89
14278,13.9,No Different than U.S. National Rate,9.5,19.5,77,19.8,No Different than U.S. National Rate,15.4,25,75
14279,8.6,Better than U.S. National Rate,6.5,11.4,194,20.2,No Different than U.S. National Rate,16.9,23.8,222
14280,13.2,No Different than U.S. National Rate,10.6,16.3,343,22.8,Worse than U.S. National Rate,19.5,26.2,377
14281,11.3,No Different than U.S. National Rate,9.3,13.4,637,18.4,No Different than U.S. National Rate,16.1,21.1,692
14282,11.8,No Different than U.S. National Rate,10,13.8,895,19.5,No Different than U.S. National Rate,17.3,21.8,939
14283,11.2,No Different than U.S. National Rate,8.8,14.2,302,17.6,No Different than U.S. National Rate,14.7,20.9,301
14284,11.9,No Different than U.S. National Rate,9.6,14.9,319,18.2,No Different than U.S. National Rate,15.4,21.3,373
14285,11.4,No Different than U.S. National Rate,9,14.6,193,18.2,No Different than U.S. National Rate,15,22.1,191
14286,11.1,No Different than U.S. National Rate,8.4,14.7,168,22.8,Worse than U.S. National Rate,18.7,26.9,175
14287,14.2,No Different than U.S. National Rate,11.1,17.8,228,19.5,No Different than U.S. National Rate,16,23.2,227
14288,14.5,No Different than U.S. National Rate,11.9,17.4,281,19.5,No Different than U.S. National Rate,16.4,22.9,291
14289,9.2,Better than U.S. National Rate,7.2,11.4,452,17.9,No Different than U.S. National Rate,15.4,20.9,477
14290,12.9,No Different than U.S. National Rate,10.1,16.3,259,23.8,Worse than U.S. National Rate,19.9,27.8,266
14291,11.6,No Different than U.S. National Rate,8.4,15.7,145,19.9,No Different than U.S. National Rate,16.1,24.2,143
14292,11.7,No Different than U.S. National Rate,9.9,13.7,781,20.3,No Different than U.S. National Rate,17.8,22.9,802
14293,11.1,No Different than U.S. National Rate,9.2,13.3,723,20.3,No Different than U.S. National Rate,17.9,22.9,735
14294,11.8,No Different than U.S. National Rate,9.2,15.2,301,20,No Different than U.S. National Rate,16.8,23.6,335
14295,13.1,No Different than U.S. National Rate,11.1,15.5,689,19.5,No Different than U.S. National Rate,17.2,22.1,724
14296,11.1,No Different than U.S. National Rate,8.4,14.7,93,18.5,No Different than U.S. National Rate,14.9,22.7,96
14297,11.5,No Different than U.S. National Rate,8.4,15.4,129,19.2,No Different than U.S. National Rate,15.7,22.9,153
14298,11.9,No Different than U.S. National Rate,8.8,15.8,140,17.3,No Different than U.S. National Rate,13.8,21.2,150
14299,12.9,No Different than U.S. National Rate,9.8,16.5,237,18.3,No Different than U.S. National Rate,15.2,21.9,243
14300,12.5,No Different than U.S. National Rate,9.7,16.1,240,18.8,No Different than U.S. National Rate,15.7,22.6,260
14301,10.4,No Different than U.S. National Rate,8.3,13.1,370,18.6,No Different than U.S. National Rate,15.7,22,367
14302,12.9,No Different than U.S. National Rate,10.1,16.2,243,17.6,No Different than U.S. National Rate,14.5,21.3,244
14303,12.3,No Different than U.S. National Rate,9.5,15.8,286,21.6,No Different than U.S. National Rate,18,25.3,310
14304,9.3,No Different than U.S. National Rate,7.2,12,329,18.7,No Different than U.S. National Rate,15.6,22.2,342
14305,14.3,No Different than U.S. National Rate,11.7,17.5,326,17.4,No Different than U.S. National Rate,14.6,20.7,318
14306,13.1,No Different than U.S. National Rate,10.3,16.5,291,18.2,No Different than U.S. National Rate,15.2,21.7,326
14307,17.8,Worse than U.S. National Rate,15.2,20.6,503,19.1,No Different than U.S. National Rate,16.4,22.1,461
14308,10.4,No Different than U.S. National Rate,8.7,12.6,631,18.2,No Different than U.S. National Rate,15.7,21,627
14309,11.8,No Different than U.S. National Rate,9.6,14.4,431,18.1,No Different than U.S. National Rate,15.4,21.3,464
14310,12.3,No Different than U.S. National Rate,10.1,14.9,320,17.5,No Different than U.S. National Rate,14.7,20.8,337
14311,12.8,No Different than U.S. National Rate,10.4,15.8,343,20.1,No Different than U.S. National Rate,17.1,23.3,371
14312,10.9,No Different than U.S. National Rate,9,13.1,563,18.1,No Different than U.S. National Rate,15.7,20.8,575
14313,11.9,No Different than U.S. National Rate,9.7,14.5,406,21.3,No Different than U.S. National Rate,18.3,24.6,447
14314,11,No Different than U.S. National Rate,8.3,14.6,158,20.2,No Different than U.S. National Rate,16.6,24.3,169
14315,9.2,Better than U.S. National Rate,7.5,11.3,636,17,No Different than U.S. National Rate,14.7,19.7,653
14316,11.7,No Different than U.S. National Rate,9.5,14.6,386,16.4,No Different than U.S. National Rate,13.7,19.6,385
14317,11.2,No Different than U.S. National Rate,9,13.8,369,19.9,No Different than U.S. National Rate,16.9,23.1,370
14318,11.3,No Different than U.S. National Rate,8.9,14.1,307,20.2,No Different than U.S. National Rate,17,23.5,319
14319,11.5,No Different than U.S. National Rate,7.9,15.8,64,18.1,No Different than U.S. National Rate,14.3,22.5,70
14320,13.2,No Different than U.S. National Rate,10.7,16.1,383,20.7,No Different than U.S. National Rate,17.5,24.1,378
14321,11.3,No Different than U.S. National Rate,9.2,13.7,581,20,No Different than U.S. National Rate,17.3,23,638
14322,16,Worse than U.S. National Rate,13.1,19.2,384,18.8,No Different than U.S. National Rate,15.8,22.2,359
14323,12.3,No Different than U.S. National Rate,8.7,17,104,15.8,No Different than U.S. National Rate,12.5,20,104
14324,16.7,Worse than U.S. National Rate,12.7,21.8,140,17.6,No Different than U.S. National Rate,14,22,128
14325,12.4,No Different than U.S. National Rate,9.4,15.8,167,17,No Different than U.S. National Rate,13.7,21,168
14326,10,No Different than U.S. National Rate,7.2,13.2,185,22.7,No Different than U.S. National Rate,18.5,27.2,202
14327,13.2,No Different than U.S. National Rate,10.1,17,209,18.9,No Different than U.S. National Rate,15.6,22.8,210
14328,14.8,Worse than U.S. National Rate,12.4,17.4,397,23.4,Worse than U.S. National Rate,20.1,26.8,394
14329,Not Available,Number of Cases Too Small,Not Available,Not Available,23,Not Available,Number of Cases Too Small,Not Available,Not Available,24
14330,17.1,Worse than U.S. National Rate,13.2,21.7,184,21,No Different than U.S. National Rate,17.1,25.3,176
14331,12.4,No Different than U.S. National Rate,9.4,16.3,184,19.6,No Different than U.S. National Rate,16,23.6,167
14332,11.4,No Different than U.S. National Rate,8.8,14.6,314,17.6,No Different than U.S. National Rate,14.7,21.1,334
14333,Not Available,Number of Cases Too Small,Not Available,Not Available,3,Not Available,Number of Cases Too Small,Not Available,Not Available,5
14334,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
14335,10,No Different than U.S. National Rate,7.6,12.9,256,18.9,No Different than U.S. National Rate,15.8,22.7,270
14336,Not Available,Number of Cases Too Small,Not Available,Not Available,7,Not Available,Number of Cases Too Small,Not Available,Not Available,6
14337,13.2,No Different than U.S. National Rate,10.4,16.6,272,21.8,No Different than U.S. National Rate,18.1,25.6,301
14338,12,No Different than U.S. National Rate,9.1,15.5,211,20.2,No Different than U.S. National Rate,16.7,24.2,222
14339,12,No Different than U.S. National Rate,9.3,15.5,205,19.4,No Different than U.S. National Rate,16.1,23.2,230
14340,14.7,Worse than U.S. National Rate,12.4,17.2,556,19.1,No Different than U.S. National Rate,16.6,22,563
14341,11.1,No Different than U.S. National Rate,8.5,14.6,235,17.2,No Different than U.S. National Rate,14,20.9,236
14342,10.6,No Different than U.S. National Rate,7.6,14.2,100,19.4,No Different than U.S. National Rate,15.8,23.8,101
14343,15.3,Worse than U.S. National Rate,12.6,18.5,409,18,No Different than U.S. National Rate,15.5,21.1,412
14344,12.3,No Different than U.S. National Rate,9.4,15.8,225,20.9,No Different than U.S. National Rate,17.2,24.8,240
14345,14.2,No Different than U.S. National Rate,10.3,19.3,87,19.4,No Different than U.S. National Rate,15.6,23.9,88
14346,11.4,No Different than U.S. National Rate,9.4,13.7,564,16.6,No Different than U.S. National Rate,14.4,19.7,573
14347,16.5,Worse than U.S. National Rate,13.5,20.2,264,17.4,No Different than U.S. National Rate,14.4,20.8,267
14348,10.2,No Different than U.S. National Rate,7.8,12.9,309,21.7,Worse than U.S. National Rate,18.6,25.3,346
14349,10.4,No Different than U.S. National Rate,8.5,12.7,576,20.1,No Different than U.S. National Rate,17.3,22.9,576
14350,12.3,No Different than U.S. National Rate,9.5,15.6,212,19,No Different than U.S. National Rate,15.7,23.1,219
14351,14.9,No Different than U.S. National Rate,11.4,19,187,16.3,No Different than U.S. National Rate,13.1,20.4,172
14352,11.6,No Different than U.S. National Rate,8.6,15.2,233,19.7,No Different than U.S. National Rate,16.5,23.1,254
14353,14.6,No Different than U.S. National Rate,11.1,18.9,135,18.5,No Different than U.S. National Rate,15.1,22.7,150
14354,14.7,No Different than U.S. National Rate,11.7,18.2,250,17.8,No Different than U.S. National Rate,14.9,21.4,267
14355,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Number of Cases Too Small,Not Available,Not Available,1
14356,11,No Different than U.S. National Rate,8.3,14.6,173,18.7,No Different than U.S. National Rate,15.1,22.8,175
14357,9.1,No Different than U.S. National Rate,6.3,13,79,16.8,No Different than U.S. National Rate,13.2,21.2,85
14358,12,No Different than U.S. National Rate,8,17.3,40,19.4,No Different than U.S. National Rate,15.1,24.3,43
14359,12.3,No Different than U.S. National Rate,8.5,17.9,72,17.3,No Different than U.S. National Rate,13.5,21.8,83
14360,11.8,No Different than U.S. National Rate,8.8,15.8,144,17.2,No Different than U.S. National Rate,13.9,21.3,147
14361,Not Available,Number of Cases Too Small,Not Available,Not Available,2,Not Available,Number of Cases Too Small,Not Available,Not Available,2
14362,12.8,No Different than U.S. National Rate,9.3,17.4,105,17.5,No Different than U.S. National Rate,13.8,22,100
14363,11.9,No Different than U.S. National Rate,9,15.3,225,17.5,No Different than U.S. National Rate,14.4,21.1,241
14364,16,No Different than U.S. National Rate,12,21.3,87,17.6,No Different than U.S. National Rate,14.1,22,78
14365,12,No Different than U.S. National Rate,8.6,16.2,117,18.2,No Different than U.S. National Rate,14.7,22.5,109
14366,12.3,No Different than U.S. National Rate,9.8,15.1,339,16.8,No Different than U.S. National Rate,14.1,20.1,355
14367,11.7,No Different than U.S. National Rate,8.8,15.3,165,15.8,No Different than U.S. National Rate,12.7,19.5,178
